Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
117,710,655,229.13208,203.96729,0.28455257,0.013451576,7
119,703,654,230.85388,192.44446,2.584772,0.872283,7
119,716,654,236.28418,207.41089,0.7646704,0.28869152,7
120,696,668,223.172,192.31201,0,0,7
122,690,665,235.7544,190.19287,0,0,7
95,705,711,225.55603,193.10669,0.4294157,-0.4263115,7
96,663,726,185.4248,166.08765,1.2313366,0.04035473,7
133,726,683,239.86023,210.85449,-0.07657051,0.11175156,7
95,854,638,206.61621,180.65674,-0.23591995,-0.4801178,7
95,877,632,226.48315,188.20618,0.3559494,0.85779667,7
99,876,642,304.36157,207.146,0.1469326,-0.058979988,7
118,792,635,257.34314,218.80127,-6.113224,-3.1725025,7
118,804,634,266.61438,225.15869,0.6291199,0.16141891,7
119,787,624,319.46045,236.41663,0,0,7
119,810,621,247.01233,199.86145,0.7998514,-0.3445673,7
120,853,614,211.25183,176.28601,-0.4749441,-0.011382103,7
121,873,643,215.35767,179.59717,-1.6586828,-0.10036945,7
122,831,626,234.69482,192.44446,-0.43562412,0.2938652,7
123,807,636,311.51367,242.50916,0,0,7
124,807,642,262.1112,221.84753,-1.2075377,-0.28972626,7
126,806,651,272.04468,231.38367,0,0,7
127,817,651,292.7063,259.1974,0.02793789,-0.16866207,7
127,831,627,233.63525,201.84814,0.02793789,-0.16866207,7
128,828,618,233.23792,196.68274,-1.0812998,-0.3362894,7
130,815,645,282.90527,245.42297,0.30628204,-0.7294893,7
132,855,655,232.0459,207.01355,0,0,7
138,835,618,248.60168,214.0332,-0.16762733,-0.039319992,7
138,843,664,259.85962,232.17834,0.12313366,-0.84331036,7
139,835,648,310.4541,251.5155,0.14072418,-0.16348839,7
137,767,721,295.885,247.807,-0.21108627,0.060014725,7
