Index,Name,Type,X,Y,Width,Height,Color,Fill,LWidth,Pos,C,Z,T,Slice
0,0792-0354-0380,Point,380,354,1,1,none,none,0,0,0,264,1,264
1,0792-0478-0376,Point,376,478,1,1,none,none,0,0,0,264,1,264
2,0831-0318-0382,Point,382,318,1,1,none,none,0,0,0,277,1,277
3,0831-0482-0381,Point,381,482,1,1,none,none,0,0,0,277,1,277
4,0894-0506-0386,Point,386,506,1,1,none,none,0,0,0,298,1,298
5,0894-0349-0390,Point,390,349,1,1,none,none,0,0,0,298,1,298
6,0939-0521-0389,Point,389,521,1,1,none,none,0,0,0,313,1,313
7,0939-0354-0392,Point,392,354,1,1,none,none,0,0,0,313,1,313
8,1029-0546-0402,Point,402,546,1,1,none,none,0,0,0,343,1,343
9,1029-0364-0404,Point,404,364,1,1,none,none,0,0,0,343,1,343
10,1068-0545-0408,Point,408,545,1,1,none,none,0,0,0,356,1,356
11,1068-0365-0414,Point,414,365,1,1,none,none,0,0,0,356,1,356
12,1137-0566-0416,Point,416,566,1,1,none,none,0,0,0,379,1,379
13,1137-0396-0418,Point,418,396,1,1,none,none,0,0,0,379,1,379
14,1224-0578-0422,Point,422,578,1,1,none,none,0,0,0,408,1,408
15,1224-0405-0429,Point,429,405,1,1,none,none,0,0,0,408,1,408
16,1281-0546-0432,Point,432,546,1,1,none,none,0,0,0,427,1,427
17,1281-0384-0437,Point,437,384,1,1,none,none,0,0,0,427,1,427
18,1002-0513-0400,Point,400,513,1,1,none,none,0,0,0,334,1,334
19,1002-0361-0401,Point,401,361,1,1,none,none,0,0,0,334,1,334
